SSDSE-A-2022,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R07402,ïüìáåß,ñkâñå¥ë∫,2556,1290,1266,2521,1277,1244,258,136,122,1349,725,624,948,428,520,441,155,286,35,11,39,86,118,1003,999,2501,483,305,277,145,113,8,3,23408,2595,254,1,0,0,20,11,1,1,3,30,1,4,1,142,18,2,8,5,6,1251,1,0,0,70,106,8,2,12,125,6,22,1,708,74,6,59,23,28,169,106,95.7,14.2,3079155,550167,2938154,413790,514350,313899,7,2,43,2,18,129,2,20,59,0,0,0,0,0,0,1506,824,682,37,27,10,743,299,444,202,294,997,1,0,2720,171,25,19,0,0,2,0,1,0,0,1
R07405,ïüìáåß,êºâÔí√í¨,5770,2789,2981,5732,2782,2950,468,224,244,2582,1373,1209,2718,1190,1528,1604,585,1019,38,20,132,141,149,2352,2340,5641,1133,712,808,386,482,16,9,29818,4808,339,4,0,0,61,40,1,1,4,90,3,1,4,35,33,7,26,8,21,2143,21,0,0,372,649,24,6,41,357,17,4,11,130,98,10,230,86,87,544,315,90.1,13.1,6418301,611757,6165549,999827,706895,479161,48575,0,0,1,16,199,1,14,91,0,0,0,0,1,36,2917,1676,1241,111,67,44,2263,814,1449,489,984,1441,5,0,6198,1785,83,27,0,0,4,2,2,2,4,1
R07407,ïüìáåß,î÷íÚí¨,3322,1604,1718,3313,1599,1714,421,205,216,1655,872,783,1246,527,719,672,234,438,9,28,37,71,99,1079,1077,3226,535,220,292,114,155,8,2,5977,2125,122,2,0,0,12,24,0,0,1,23,1,3,2,25,8,2,5,1,13,2572,34,0,0,79,1727,0,0,6,147,13,22,2,260,13,5,167,4,93,224,124,96.3,10.1,3777589,594344,3650215,605193,439051,383358,507,1,93,2,24,168,1,11,81,0,0,0,0,0,0,1632,904,728,47,32,15,1189,443,746,232,442,920,1,0,3464,344,21,10,0,0,1,0,2,1,6,1
R07408,ïüìáåß,íñïcë„í¨,13552,6533,7019,13482,6506,6976,1422,738,684,6723,3473,3250,5360,2294,3066,2907,1034,1873,64,52,243,328,434,4718,4694,12977,2174,1268,1330,576,660,34,14,39485,7335,806,14,2,2,91,39,3,2,10,186,6,22,18,196,82,31,47,8,47,5480,106,8,11,528,490,54,2,136,1167,58,83,101,1271,355,123,741,55,191,701,277,90.6,10.7,8239274,1833962,7891364,1617992,1201523,1165840,28686,0,0,6,80,616,3,37,294,0,0,0,0,1,94,6713,3689,3024,208,149,59,4881,1786,3095,835,1304,4486,1,1,14023,2656,159,81,2,1,9,7,14,9,14,3
R07421,ïüìáåß,âÔí√ç‚â∫í¨,15068,7245,7823,14933,7188,7745,1611,821,790,7909,4032,3877,5522,2374,3148,2890,1018,1872,127,73,256,302,463,5306,5293,14752,2685,1255,1512,639,660,49,28,9159,6140,856,11,1,2,108,74,0,4,18,253,8,42,17,102,84,26,42,10,54,5755,92,15,12,646,1290,0,5,319,1344,95,82,56,450,271,70,725,122,161,1045,321,89.5,13.3,7486061,1630772,7199790,1863957,637602,1015833,18863,2,313,2,46,678,1,29,382,0,0,0,0,2,385,8034,4405,3629,364,256,108,5014,1738,3276,1154,2205,4659,1,0,15846,6462,223,89,2,1,11,8,27,12,12,1
R07422,ïüìáåß,ìíêÏë∫,3081,1485,1596,3073,1485,1588,421,238,183,1594,789,805,1066,458,608,548,199,349,8,17,37,116,89,976,973,3040,508,163,263,118,107,6,6,1637,1637,90,3,0,0,9,10,0,0,2,29,3,1,2,6,4,4,6,2,9,880,19,0,0,36,331,0,0,18,182,100,6,5,40,42,5,50,15,31,342,82,93.2,9.6,2911523,338571,2796500,548318,361425,365558,0,1,81,2,22,171,1,10,80,0,0,0,0,0,0,1650,879,771,40,22,18,892,309,583,361,401,865,1,0,3200,440,21,2,0,0,1,0,0,0,0,1
R07423,ïüìáåß,ñˆí√í¨,3081,1501,1580,3074,1500,1574,310,165,145,1374,740,634,1397,596,801,805,294,511,7,13,66,72,113,1127,1119,2985,531,308,380,160,213,6,5,17582,2202,190,4,0,0,28,16,2,0,3,58,1,2,5,30,18,1,7,3,12,1202,29,0,0,129,283,27,0,28,308,5,3,26,148,32,1,95,22,66,302,196,81.2,4.5,4721884,403604,4540661,590862,702437,488149,44640,0,0,2,23,121,1,10,78,0,0,0,0,0,0,1552,871,681,46,35,11,1151,419,732,253,431,842,3,0,3311,105,54,16,0,0,3,1,1,1,0,2
R07444,ïüìáåß,éOìáí¨,1452,714,738,1444,711,733,96,52,44,573,318,255,783,344,439,449,170,279,8,3,44,37,58,644,641,1387,309,240,240,131,154,2,0,9081,1159,90,1,0,0,10,8,2,1,1,19,3,3,0,13,11,0,8,3,7,514,6,0,0,139,41,23,11,10,50,6,18,0,58,29,0,70,15,38,44,169,89.5,4.1,3042936,173702,2814316,395947,377927,178058,4719,0,0,1,7,31,1,9,21,0,0,0,0,0,0,623,376,247,23,17,6,710,269,441,61,170,389,1,0,1574,78,15,6,0,1,1,0,4,0,4,1
R07445,ïüìáåß,ã‡éRí¨,1862,908,954,1851,904,947,89,56,33,638,347,291,1134,505,629,736,287,449,11,4,78,63,63,878,874,1735,430,340,350,199,246,2,0,29392,7582,161,4,1,0,22,13,0,0,7,45,1,1,0,25,17,0,10,5,10,734,41,7,0,198,48,0,0,26,118,8,2,0,82,30,0,120,24,30,112,228,82.6,4.5,3251732,548363,3058466,376539,336519,407758,26899,0,0,2,11,30,1,9,18,0,0,0,0,1,78,766,457,309,19,18,1,985,377,608,91,175,497,5,0,2023,599,40,7,0,0,4,0,1,1,2,2
R07446,ïüìáåß,è∫òaë∫,1246,623,623,1242,623,619,66,34,32,487,283,204,693,306,387,452,176,276,4,6,26,23,30,626,588,1152,256,253,192,131,160,4,2,20946,1928,82,3,0,0,10,12,0,0,1,20,0,0,1,10,12,1,2,4,6,295,36,0,0,55,43,0,0,1,38,0,0,1,28,14,1,49,19,10,155,120,94.9,5.3,2016731,93738,1924059,375708,220411,148288,0,0,0,1,6,27,1,7,13,0,0,0,0,0,0,574,366,208,21,8,13,585,215,370,187,99,287,1,0,1258,174,19,6,0,0,2,0,1,1,2,1
R07447,ïüìáåß,âÔí√î¸ó¢í¨,19014,9108,9906,18907,9074,9833,1904,969,935,9438,4835,4603,7528,3225,4303,4018,1448,2570,38,76,338,366,482,6465,6454,18452,3128,1436,1950,876,904,44,27,27633,7416,778,18,0,0,130,81,2,3,16,207,5,12,22,55,92,11,55,12,57,5112,190,0,0,701,1094,14,9,254,903,37,27,40,242,208,55,974,90,274,1335,542,91.1,5.5,11982948,1629739,11587553,2845610,958710,1785199,13357,1,0,4,70,866,3,48,457,0,0,0,0,1,230,9738,5332,4406,333,213,120,6748,2446,4302,1459,2504,5668,10,0,20217,6832,173,43,0,1,7,6,11,10,8,4
R07461,ïüìáåß,êºãΩë∫,20808,10636,10172,20387,10429,9958,2805,1449,1356,12432,6569,5863,5185,2373,2812,2289,901,1388,243,137,229,830,761,8092,8075,19850,4246,2710,1601,764,668,78,37,19206,5651,785,11,4,0,101,99,1,4,26,149,7,39,29,112,67,18,72,4,42,10728,334,18,0,616,4319,19,33,576,1057,48,114,104,1344,309,84,1103,15,635,463,151,88.5,5.6,11400096,4274452,10783821,4431977,1605598,919369,102925,2,182,5,84,1132,3,52,523,0,0,0,0,0,0,10206,5780,4426,364,232,132,5872,2258,3614,630,4012,5357,1,0,20287,4253,108,72,1,1,7,6,11,7,14,4
R07464,ïüìáåß,êÚçËë∫,6213,3061,3152,6095,3020,3075,776,385,391,3451,1773,1678,1986,903,1083,969,383,586,118,28,97,131,147,2089,2085,6095,1131,439,549,261,225,16,9,3543,2466,257,14,0,1,28,55,2,1,12,57,2,2,2,17,16,2,17,3,26,3966,139,0,9,164,2441,5,11,237,382,5,28,5,101,29,2,204,28,176,389,102,92.1,8.3,4545659,1241202,4095438,1164511,107266,640216,150248,1,141,2,33,373,1,20,184,0,0,0,0,0,0,2891,1624,1267,200,143,57,2130,804,1326,314,1179,1386,1,1,6424,30,42,12,0,0,3,3,2,3,6,2
R07465,ïüìáåß,íÜìáë∫,4885,2398,2487,4850,2368,2482,632,305,327,2774,1447,1327,1479,646,833,744,261,483,35,24,59,88,141,1520,1519,4806,785,271,338,134,141,13,8,1892,1570,178,11,0,0,33,40,0,0,6,34,2,0,2,14,14,3,6,2,11,1825,103,0,0,169,1024,0,0,131,158,19,0,5,46,32,9,41,22,66,348,87,88.5,9.2,3070579,546661,2755409,691066,193288,353946,13980,1,129,2,25,267,1,14,151,0,0,0,0,0,0,2818,1547,1271,90,60,30,1330,477,853,491,1140,1171,0,0,5055,60,29,12,0,0,3,3,1,4,3,1
R07466,ïüìáåß,ñÓêÅí¨,17287,8649,8638,17124,8559,8565,2132,1087,1045,9723,5162,4561,5429,2400,3029,2662,1031,1631,163,110,242,522,537,6102,6068,16496,3176,1609,1492,677,670,57,28,6040,4936,707,8,0,0,78,92,1,0,26,170,11,19,21,99,73,12,51,5,41,7389,103,0,0,569,2156,1,0,624,1351,75,61,88,612,314,75,1017,50,293,748,144,85.2,12,9509997,2332364,8306164,2070156,1189859,832218,320274,4,241,4,62,900,1,32,450,0,0,0,0,1,581,8249,4655,3594,361,256,105,5560,2125,3435,976,3069,4115,3,1,17354,170,139,73,3,1,8,9,27,11,33,3
R07481,ïüìáåß,íIëqí¨,13343,6581,6762,13236,6538,6698,1630,823,807,7372,3849,3523,4258,1864,2394,2201,821,1380,71,70,181,362,417,4728,4719,13116,2398,1210,1158,545,506,37,33,15993,4076,758,10,0,3,83,90,0,7,20,193,13,38,14,95,82,17,41,5,47,6666,173,0,48,640,2383,0,58,338,1253,109,72,75,372,367,46,474,44,214,761,194,89.8,12.8,7575725,1976018,7095378,1651484,720199,894620,204530,4,319,5,67,749,1,31,360,0,0,0,0,1,349,6670,3783,2887,241,169,72,4287,1516,2771,525,2773,3258,0,1,13838,3639,170,77,2,0,9,5,10,5,11,1
R07482,ïüìáåß,ñÓç’í¨,5392,2620,2772,5369,2613,2756,600,292,308,2666,1395,1271,2126,933,1193,1163,431,732,23,25,94,92,147,1867,1863,5224,945,415,582,297,261,11,15,11827,2425,301,8,1,0,67,41,0,1,5,75,2,3,3,36,24,3,19,4,9,2522,71,2,0,351,1265,0,3,45,334,15,4,5,133,44,6,196,24,24,447,259,85.6,1.6,4672551,924286,4184150,708201,157187,627672,332436,1,129,1,20,263,1,19,127,0,0,0,0,0,0,2764,1566,1198,118,81,37,1910,681,1229,389,1198,1173,1,1,5702,2058,70,29,0,0,4,2,2,3,0,1
R07483,ïüìáåß,î∑í¨,8302,4079,4223,8191,4041,4150,865,444,421,4214,2188,2026,3196,1429,1767,1749,673,1076,87,47,142,140,192,2935,2929,8008,1524,685,887,425,371,22,12,21141,3966,511,11,0,0,71,58,0,2,15,149,5,29,8,51,51,8,28,7,18,3734,118,0,0,407,1082,0,17,178,660,26,47,16,231,115,15,673,40,109,749,259,90.9,8,7003592,933412,6709283,1726763,688330,687965,203365,2,175,2,34,366,1,19,209,0,0,0,0,1,114,4386,2438,1948,124,79,45,2690,983,1707,683,1577,1956,16,1,8552,479,128,36,0,2,4,4,18,6,17,1
R07484,ïüìáåß,éLêÏë∫,3049,1531,1518,3031,1531,1500,316,157,159,1512,802,710,1221,572,649,650,268,382,18,15,53,47,85,1006,1004,3003,462,210,304,158,131,9,7,13134,3093,144,6,0,0,39,17,0,0,3,34,1,1,4,12,9,4,6,2,6,756,32,0,0,201,211,0,0,23,97,1,3,7,38,14,27,65,19,18,472,100,86.9,6.5,3801357,277408,3418823,676395,208634,345925,161894,0,0,1,13,148,1,12,72,0,0,0,0,1,34,1699,1011,688,40,24,16,990,336,654,350,645,686,1,1,3312,805,34,7,0,0,2,1,1,1,0,1
R07501,ïüìáåß,êŒêÏí¨,14644,7334,7310,14493,7272,7221,1424,754,670,7719,4095,3624,5430,2434,2996,2784,1058,1726,108,63,201,252,456,5214,5185,14027,2591,1298,1546,698,599,32,18,11571,5648,862,10,0,1,104,108,0,4,11,237,11,28,21,91,101,12,56,14,53,5997,110,0,17,493,1443,0,18,174,1361,161,54,67,611,310,127,562,249,240,892,365,88.2,4.5,8043149,1638606,7694072,2203238,373574,937776,449161,0,0,3,52,683,2,26,420,0,0,0,0,2,1067,7403,4115,3288,262,171,91,4945,1969,2976,706,2514,3802,1,0,15145,680,211,57,4,0,10,9,11,11,18,4
R07502,ïüìáåß,ã êÏë∫,6392,3202,3190,6319,3155,3164,795,407,388,3565,1877,1688,2024,912,1112,946,368,578,71,38,74,131,201,1980,1978,6310,1006,363,507,182,154,22,17,4667,2547,314,7,0,0,68,48,0,0,10,65,2,9,6,22,25,9,16,4,23,2749,45,0,0,286,1244,0,0,112,377,44,59,20,95,107,15,168,25,152,551,176,94.2,11.2,5062804,743291,4219423,1038429,145987,469027,39726,0,0,2,31,331,1,21,191,0,0,0,0,0,0,3396,1888,1508,98,65,33,1883,718,1165,471,1347,1517,2,0,6684,292,53,13,0,0,4,2,2,2,8,1
R07503,ïüìáåß,ïΩìcë∫,5826,2883,2943,5706,2817,2889,584,299,285,3179,1699,1480,2057,879,1178,1064,358,706,120,16,87,101,142,1953,1949,5583,927,453,529,187,202,18,8,9342,3502,260,6,0,0,58,41,0,2,2,58,3,4,5,26,25,1,12,6,11,2116,53,0,0,456,668,0,6,7,251,20,11,13,87,61,1,416,34,32,626,172,87.4,10,4684044,644183,4370789,1377662,298580,359046,156995,0,0,2,28,277,1,14,152,0,0,0,0,0,0,3279,1886,1393,132,86,46,1796,590,1206,567,1362,1305,1,0,6029,647,54,16,0,1,2,3,7,4,6,2
R07504,ïüìáåß,êÛêÏí¨,6036,3031,3005,5990,3018,2972,682,353,329,3272,1733,1539,2055,932,1123,1081,426,655,23,31,100,109,123,2070,2069,5957,1033,490,528,234,266,17,9,3743,2168,302,3,0,0,45,72,0,0,8,60,4,7,5,26,35,6,17,2,12,1993,36,0,0,157,1094,0,0,71,258,22,10,7,66,66,9,149,19,29,402,86,82.1,6.2,3742682,704766,3321870,744544,369791,346853,149954,1,120,1,21,326,1,18,164,0,0,0,0,0,0,3129,1764,1365,133,90,43,1977,768,1209,317,1434,1366,1,1,6353,485,54,24,0,0,3,2,1,4,5,1
R07505,ïüìáåß,å√ìaí¨,4825,2364,2461,4767,2356,2411,499,243,256,2433,1279,1154,1893,842,1051,1014,384,630,58,17,79,48,124,1610,1608,4752,763,333,495,189,201,11,3,16329,2935,273,4,0,0,60,50,0,2,6,71,3,2,3,19,25,0,7,4,17,1778,34,0,0,254,792,0,10,47,263,17,5,8,62,47,0,111,24,104,452,199,91.2,7.8,4926818,520042,4746998,1063550,491501,549525,71713,0,0,1,17,252,1,15,130,0,0,0,0,0,0,2529,1432,1097,107,82,25,1597,566,1031,338,1034,1053,1,1,5201,1382,65,15,0,0,2,2,1,4,3,1
R07521,ïüìáåß,éOètí¨,17018,8448,8570,16923,8412,8511,1842,959,883,9177,4735,4442,5882,2678,3204,2901,1154,1747,58,87,226,427,477,5977,5967,16689,3379,1279,1828,821,705,45,18,7276,4936,660,8,0,0,104,63,1,2,17,153,4,27,20,83,53,12,59,8,46,5569,75,0,0,740,1689,5,2,251,790,47,63,97,496,104,49,750,194,217,675,348,93.7,8.7,9346725,1934837,9075808,3215438,587186,917202,126788,2,120,6,91,789,2,40,400,0,0,0,0,1,594,8720,4801,3919,351,223,128,5217,1988,3229,557,2605,5008,6,1,17052,3265,131,59,1,1,12,6,16,7,24,3
R07522,ïüìáåß,è¨ñÏí¨,9471,4677,4794,9318,4586,4732,969,495,474,5074,2666,2408,3384,1491,1893,1800,683,1117,142,39,157,156,280,3398,3391,9284,1660,907,953,412,427,29,14,12518,3902,514,4,0,0,57,74,0,0,12,158,4,9,7,52,59,8,29,5,36,3585,42,0,0,385,1154,0,0,160,828,34,28,34,162,193,11,411,41,102,667,191,88.1,6.1,5847857,1044642,5587947,1717562,595345,557663,217808,1,25,1,32,459,1,22,240,0,0,0,0,1,228,4785,2685,2100,404,309,95,3239,1151,2088,561,1855,2360,2,1,10056,402,146,36,2,1,9,3,13,3,9,3
R07541,ïüìáåß,çLñÏí¨,5412,3311,2101,5330,3253,2077,384,198,186,2958,1889,1069,1558,729,829,687,267,420,75,17,66,264,305,2899,2881,5051,897,1770,487,251,320,15,5,5869,1478,204,3,0,1,38,21,2,2,9,29,1,5,11,38,12,1,6,1,24,2821,14,0,5,286,484,226,4,61,111,9,38,310,231,44,1,171,5,821,56,45,82.8,5.3,5441164,2547139,4800062,856885,849015,426706,103203,0,0,1,18,154,2,32,200,0,0,0,0,1,438,2686,1869,817,71,42,29,1594,610,984,96,1048,1494,1,0,4802,0,24,16,0,1,3,1,3,0,9,2
R07542,ïüìáåß,ìËótí¨,3710,2147,1563,3683,2128,1555,259,132,127,1996,1276,720,1388,672,716,721,296,425,22,37,89,285,315,1977,1922,3602,805,945,504,299,253,23,17,10364,2612,53,0,0,0,12,7,1,0,2,9,2,3,3,7,0,0,0,1,6,964,0,0,0,278,95,214,0,17,63,13,28,72,73,0,0,0,3,108,0,0,76.8,1.5,15019291,2268335,12211576,941398,1505828,577749,256859,0,0,2,18,98,1,13,38,0,0,0,0,0,0,1680,1213,467,58,46,12,1437,565,872,67,472,1086,1,0,6850,0,5,2,0,0,5,1,2,2,1,1
R07543,ïüìáåß,ïxâ™í¨,2128,1542,586,2040,1491,549,60,21,39,1382,1092,290,482,258,224,233,96,137,10,55,155,418,670,1640,1638,2126,288,1301,159,88,163,38,18,6839,2759,22,0,0,0,9,1,1,0,1,4,0,0,2,2,0,0,0,0,2,521,0,0,0,217,28,214,0,11,14,0,0,9,3,0,0,0,0,25,0,0,99.6,3.2,22418520,2248377,17987348,1936358,2437155,1106570,462391,2,39,4,22,35,4,17,15,0,0,0,0,1,0,1338,1131,207,28,16,12,379,139,240,34,534,727,0,1,12829,0,3,0,0,1,2,0,6,2,5,1
R07544,ïüìáåß,êÏì‡ë∫,2044,1035,1009,1947,1003,944,116,60,56,883,499,384,974,441,533,542,215,327,32,12,70,99,91,934,931,1890,432,364,308,179,149,15,3,19735,2419,83,6,0,1,19,7,0,1,0,24,1,0,0,10,3,0,3,2,6,628,77,0,8,229,54,0,2,0,80,3,0,0,50,4,0,73,8,40,123,25,91.7,8,7629366,443724,6768438,937007,490807,2307863,245614,0,0,1,11,44,1,11,27,0,0,0,0,0,0,914,556,358,22,14,8,726,267,459,129,232,486,1,0,2589,569,24,4,0,0,2,0,1,1,0,1
R07545,ïüìáåß,ëÂåFí¨,847,754,93,846,753,93,1,1,0,754,697,57,87,51,36,34,18,16,1,56,116,144,137,800,799,838,29,766,20,15,41,33,15,7871,2897,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,58.7,-2.4,28232509,3891983,26976478,10253404,5228945,427720,45208,2,5,2,11,9,1,9,3,0,0,0,0,1,0,747,700,47,7,4,3,84,42,42,14,13,718,1,1,10317,202,0,0,0,0,1,0,2,0,2,0
R07546,ïüìáåß,ëoótí¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,90,31,91,0,0,0,0,0,0,0,0,18,13,5142,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,6.9,30106945,1149729,28655144,2278525,3839967,292327,479714,1,5,2,14,30,1,10,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5933,5933,0,0,0,0,0,0,0,1,0,0
R07547,ïüìáåß,òQç]í¨,1923,1350,573,1772,1248,524,52,26,26,1056,806,250,568,321,247,242,119,123,5,63,227,253,554,1405,1404,1922,284,1062,180,116,179,52,24,22314,6250,19,0,0,0,5,3,0,0,3,4,0,0,0,0,0,0,0,1,3,377,0,0,0,29,28,0,0,4,36,0,0,0,0,0,0,0,5,275,0,0,97.8,6.8,38686565,828213,36440490,2333692,3546948,339220,149030,2,0,7,15,22,4,8,5,0,0,0,0,2,0,1058,859,199,37,30,7,460,198,262,63,525,434,6,1,17270,3280,4,0,0,0,1,1,2,3,5,1
R07548,ïüìáåß,äãîˆë∫,420,241,179,416,238,178,24,10,14,198,121,77,198,110,88,96,47,49,4,8,26,23,43,205,205,420,93,89,68,36,44,7,2,8437,1527,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,27,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,20,0,0,93.8,3.8,5035424,129070,4742585,792175,424562,169992,43547,1,5,1,9,8,1,8,5,0,0,0,0,0,0,242,161,81,0,0,0,146,66,80,67,52,115,1,0,1410,186,2,0,0,0,1,1,0,1,0,0
R07561,ïüìáåß,êVíní¨,7905,3945,3960,7847,3905,3942,997,528,469,4286,2229,2057,2597,1170,1427,1292,526,766,50,46,119,188,228,2748,2742,7761,1408,675,680,321,308,20,9,4670,3050,284,4,0,0,60,43,2,1,9,56,1,4,8,21,24,3,18,6,24,2736,107,0,0,500,646,130,1,151,319,6,33,54,82,54,4,373,37,239,391,252,96.5,9.3,8318080,2175782,7826830,1068598,3192629,664343,74351,0,0,3,40,402,1,21,222,0,0,0,0,1,143,3960,2241,1719,166,107,59,2641,983,1658,413,1288,2189,2,1,7949,892,41,12,0,1,6,1,10,3,7,3
R07564,ïüìáåß,î—ä⁄ë∫,1318,662,656,1299,661,638,34,17,17,525,287,238,755,356,399,378,139,239,19,17,77,63,228,627,626,1276,276,236,227,116,133,10,8,23013,5690,48,1,0,0,14,12,0,0,2,9,1,0,0,0,1,0,2,2,4,552,18,0,0,97,279,0,0,11,29,4,0,0,0,1,0,62,19,32,0,0,84.8,6,14002696,576494,11921081,1030157,1754906,437908,224045,0,0,0,0,0,0,0,0,1,28,33,32,1,0,527,338,189,25,18,7,640,244,396,122,157,186,1,0,5504,462,8,0,0,0,2,0,0,0,1,1
R08201,àÔèÈåß,êÖåÀés,270685,132537,138148,262174,128140,134034,33685,17307,16378,158472,79988,78484,70922,30822,40100,36916,14684,22232,2818,1969,2961,9843,9481,122598,122335,263990,65911,48000,25335,13365,14351,1203,443,21732,18258,13136,23,1,0,1237,508,14,135,229,3511,342,928,729,1655,1249,430,1071,46,1028,145374,282,12,0,10255,7826,716,2758,7554,32296,7221,3538,4921,13551,7727,5755,21649,560,18753,2637,1606,96.9,9.5,130683301,42168942,125053445,43776923,17675521,11793856,445808,31,2826,35,863,14137,18,561,7443,1,23,94,50,15,12532,126968,70095,56873,5105,3152,1953,80980,28622,52358,2892,23135,97991,2,7,271810,6377,2395,1480,38,24,240,172,712,229,746,59
R08202,àÔèÈåß,ì˙óßés,174508,87126,87382,170416,85349,85067,17585,9002,8583,97706,51643,46063,56525,25302,31223,30984,13256,17728,1493,904,2171,3698,4756,77911,77778,170721,44378,27836,21118,11722,10265,619,220,22586,10435,6873,8,3,7,693,680,16,75,164,1693,98,298,240,988,781,243,487,35,364,88827,109,75,42,5156,26433,546,3442,4409,12329,1520,1194,5875,7344,3190,2836,9051,397,4879,485,735,93.5,-0.7,77965358,28299909,73527549,25032607,8222967,10291961,158086,20,855,26,540,7544,17,397,4620,0,0,0,0,8,5626,74594,43708,30886,3995,2705,1290,64053,24155,39898,863,25222,47021,0,4,176069,1676,1316,876,24,12,110,76,331,116,352,29
R08203,àÔèÈåß,ìyâYés,142074,70935,71139,135299,67408,67891,15510,8049,7461,82307,42866,39441,40903,18096,22807,20802,8524,12278,3650,792,1650,5617,5646,63093,62961,138121,33339,24159,14628,7549,7127,609,260,12289,9863,6373,22,2,1,674,353,9,47,193,1709,123,410,270,846,593,181,460,34,446,75552,413,6,3,4271,14461,319,915,6395,15543,1645,1292,2202,6763,3227,2095,8139,1028,6835,1195,645,88.4,4.8,53759435,23565877,51693953,19818723,5109619,6151531,48432,13,1737,15,374,6310,8,262,3574,1,42,338,180,8,8415,64518,36094,28424,3033,1963,1070,44162,16510,27652,1931,15357,45708,8,5,141926,5723,1188,719,24,6,107,85,458,125,383,26
R08204,àÔèÈåß,å√âÕés,139344,69735,69609,135242,67635,67607,16213,8201,8012,82127,42883,39244,39691,18018,21673,18734,7828,10906,3020,857,1527,3655,3788,56149,56075,136922,32017,17361,14321,6622,6052,513,232,12358,11474,5910,26,0,0,803,723,3,18,238,1449,84,366,160,654,587,171,325,24,279,57575,269,0,0,3833,17677,113,102,4592,10944,1002,925,841,4426,2405,1181,5467,492,3306,1713,924,91.9,8.2,51689610,20733511,50371058,20298342,4787522,6331158,0,8,957,23,478,6955,9,255,3359,0,0,0,0,5,2975,68291,38676,29615,2913,1878,1035,40740,14957,25783,2342,24732,38658,7,2,143159,8799,1125,587,15,7,79,66,212,112,243,31
R08205,àÔèÈåß,êŒâ™és,73061,36167,36894,70867,35045,35822,7543,3900,3643,40001,20609,19392,23972,10784,13188,12304,5005,7299,1011,402,986,1753,2085,28344,28276,70521,15698,8264,7753,3786,3268,253,123,21553,12600,3053,23,0,1,428,301,2,11,89,746,41,131,99,334,313,78,213,32,211,27025,239,0,11,2077,5575,196,78,1775,5134,541,503,367,2179,1516,549,4480,518,1287,2631,1193,92.2,8.4,30979423,10007139,29697042,11474547,3313750,2446421,0,6,525,19,282,3248,6,137,1711,0,0,0,0,4,1924,33775,18644,15131,1218,809,409,21476,8028,13448,2387,9253,20148,15,1,74681,5740,604,289,8,7,49,41,91,63,128,17
R08207,àÔèÈåß,åãèÈés,50645,25441,25204,48248,24029,24219,6065,3109,2956,28719,15068,13651,15388,6963,8425,7497,3147,4350,2057,265,606,1263,1504,19328,19291,49584,10770,5459,5061,2293,1899,161,71,6576,6340,2235,19,0,1,330,348,0,3,63,547,20,105,71,213,191,57,138,8,121,20621,144,0,6,1495,6914,0,29,1166,4071,352,255,333,1443,662,211,2448,176,916,1035,531,92.8,8.3,20593338,7083371,19813556,6597159,1540014,2424324,22629,3,301,9,193,2565,3,103,1331,0,0,0,0,3,1134,25129,14165,10964,1139,757,382,15807,5889,9918,1574,8969,13808,2,1,51864,3166,400,190,6,2,28,27,71,35,81,11
R08208,àÔèÈåß,ó¥ÉPçËés,76420,37995,38425,73394,36494,36900,8264,4196,4068,44619,22884,21735,22113,10124,11989,10142,4238,5904,1910,359,758,2109,2401,32158,32060,74656,19093,10230,8527,4505,3482,246,119,7859,6884,2491,14,0,0,244,191,2,11,50,634,30,153,100,313,284,112,186,14,153,27706,228,0,0,1506,6997,161,36,1097,5659,386,456,556,2702,1571,1011,2973,397,1970,659,261,94.8,5.3,26136808,10184841,25016359,9485712,1710991,3390126,498,4,311,11,245,3549,7,156,1979,0,0,0,0,4,1672,34124,18946,15178,1525,1022,503,24784,9669,15115,812,9212,23089,0,1,77240,1418,514,277,14,2,44,41,105,52,171,13
