Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,234315.4605
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1208.677164,1366.092143,1688.309351,2025.474682,2271.831926,2519.803144,2784.737233,3187.981492,3703.786816,4488.196018,5239.458329,6230.466815,6895.386079,7255.406303,7569.969001,7721.763119,8129.144121,8788.013323,8440.034526,9079.481212,9556.832802,10029.47775,10379.1604,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.510249,1877.509803,1854.552575,1967.014259,2131.277657,2280.902108,2343.706917,2579.986339,2723.999484,2991.241889,3304.678667,3494.97331,3949.461643,4770.714415,6482.831082,7003.842471,7487.078975,7775.577645,8252.916534,9294.359247,10208.57617,11853.43602,12778.85525,11515.73843,12421.4926,11440.96857,11391.43671,11650.84187,14284.51581,17834.56887,18249.70948,18860.58159,18624.55508,17700.11556,18129.79072,20446.71985,22020.09372,23645.08833,21478.38516,20698.7127,21853.78167,19681.66264,20291.17855,23705.90722,30819.99349,34461.70878,36570.72037,41023.75486,49679.18053,42810.33166,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2058.769051,2380.978458,2924.048879,3890.722419,4630.757197,5285.620724,5678.386658,6810.627685,8205.468977,9793.765348,10869.54649,9385.249064,9410.347257,9537.40742,8991.06504,9172.09676,13083.07266,16392.76952,17578.61894,17468.94614,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.530889,1209.187602,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,71.36022425,72.08878213,73.94200799,78.94826929,85.96472463,50.99042022,51.80864008,54.45030509,54.64746568,55.54377512,69.39510892,70.58552337,68.95532974,85.21464379,94.33346268,112.2861073,117.0518785,139.4132637,151.0679915,189.1259412,213.2534354,215.7876028,220.1570099,229.1177255,203.85983,232.4118246,238.3569167,219.3713007,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895535,130.7530239,138.0046172,135.6064758,124.1392972,114.3670072,128.5384225,151.1885364,166.2762376,170.7068737,194.7106401,204.5447501,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,90.03583168,92.37486063,91.17137408,96.25464503,100.4680814,105.9668704,108.628243,107.6828782,112.4779652,111.6952618,110.3469648,108.4947017,129.9996391,156.2803375,168.0122434,200.3343118,201.8329021,211.4928712,255.3923422,317.8204834,366.5294485,327.5649786,312.6931678,262.5773645,244.8443484,236.6105666,293.5596354,333.2230767,335.3419445,301.6849298,381.8050394,375.2920076,310.6237201,398.6129977,269.790585,358.8230057,380.5883092,355.1420548,372.8773308,541.7023024,502.9979648,508.3474429,564.3790796,698.4088086,784.1191226,805.9046287,837.1320425,944.6432077,1098.94678,1061.718411,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.08319561,72.17376677,77.07731842,78.82907043,80.83385453,81.99353819,82.75922787,84.55950435,84.91932365,86.71510814,81.68774302,84.5179746,99.66707635,114.218515,124.8115208,153.1288228,155.7549866,176.2974603,224.3285132,259.0365605,278.1953927,249.2854202,239.6194613,212.4870082,188.3357464,194.5678748,248.092873,280.9526703,301.9535079,294.0437234,339.6318076,334.7596647,349.708109,325.1536424,187.8151365,229.832672,243.5269378,224.6113331,250.4139338,293.887468,249.8020676,260.4434706,286.753726,363.8183683,405.451301,442.9443995,457.3420967,516.7503479,621.890329,603.8775751,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,84.82533382,92.85510925,95.04780145,96.55220619,94.86755391,100.9678718,106.8557193,116.7963159,116.9405302,128.607921,133.1429399,127.9954477,90.67836556,113.6657027,171.5262053,260.3515161,132.4574854,123.5144934,166.0064224,190.0357917,216.109852,235.0383907,209.1957418,193.4093731,202.2878488,232.1658218,221.5696191,241.7949085,258.8305367,274.3894238,294.9046567,283.3822853,284.9669776,292.4253474,292.0788195,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5210262,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.284248,1470.101687,1361.392386,1820.405232,1659.718611,1621.243018,1770.913534,2092.957694,2719.497508,3389.706802,3899.907721,4523.050833,5888.776852,7271.395837,6988.23342,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343,10129.81296,12221.49661,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8474.18836,9187.979623,9323.749814,9227.679738,9316.380553,8407.163631,6780.143797,7270.200316,7660.066614,7721.737887,8174.797232,8621.767048,8568.658051,9063.565385,9384.771881,9543.389368,9643.308694,9728.446323,9195.42561,9566.095494,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23501.91946,26562.96914,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1483.003682,1581.30398,1680.494849,1792.422274,1921.437235,2073.829691,2246.849454,2466.520088,2688.944256,3057.322961,3005.784399,3108.954374,3123.463773,3466.05498,3197.702347,2953.22492,3115.53839,3386.626388,3871.339807,5194.46237,5967.767886,6257.78659,6797.830965,7324.186554,8463.464999,9436.232744,9858.295721,10617.40527,10819.26804,11533.26076,11696.51137,11269.95052,11025.87836,10730.00097,11085.14713,11447.0179,11835.38679,20415.70617,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,30206.24043,29887.16488,30969.8762,31738.26716,32610.48505,23862.71099,27478.38963,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7831793,497.6828466,712.9536456,907.1257658,1000.398642,1128.272892,1332.122365,1382.80542,1602.695144,2031.322775,2451.821681,2741.118519,3170.11785,3936.940013,4846.776421,4542.282637,4507.054433,4981.035681,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671,6012.062767,7143.310548,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6542.797491,7302.257794,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.1221794,319.5960911,331.1943575,341.3789425,355.6363845,382.2080741,410.9270086,425.2660002,391.1184815,400.4011107,440.2922372,481.0044363,528.2717866,617.4861737,802.4908589,902.6406399,726.0440815,863.9110609,981.048419,1070.348251,1363.840218,1318.127065,1195.508972,1231.012451,1342.227691,1301.082642,1385.471231,1643.949927,1831.019639,2065.720309,3009.491262,3212.450794,3644.265078,3867.605329,3888.295299,4021.006504,4057.853603,3997.84448,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.402119,1961.538169,2020.385965,2020.265247,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,114090.3283,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,100.843655,107.4536576,115.0748126,121.3479157,133.8863944,146.8534781,159.1773484,175.9629213,195.4576872,207.2245478,221.7774646,233.6946457,262.341899,257.6304821,418.8967523,468.9552842,520.9380387,601.6939266,685.0401867,788.0649094,791.0422229,1004.880903,933.7353073,885.9651908,986.8129516,842.0902334,607.0821405,652.7057594,675.7153103,678.6421589,685.9427177,737.5230898,763.2639355,760.1146521,777.4188962,856.3725462,925.8513995,973.9548469,1025.415636,981.7543295,977.336056,930.8780795,888.198576,892.3514969,951.9516229,1018.308928,1200.070588,1351.042925,1687.583393,1725.146286,1922.049531,2304.969835,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.196589,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,232.9987625,229.3367664,247.8342997,291.4040061,254.838581,265.4753976,325.1731074,348.0211028,370.1804118,395.4413846,439.2209162,494.8027499,577.4515372,806.3545127,1034.16443,1188.619532,1376.347928,1547.694206,1716.707728,1853.019691,1941.259538,2061.349954,2118.564108,1448.009731,1406.6898,1287.612405,1545.928425,1667.18757,1781.817876,2344.730687,2592.627166,2234.362688,2105.107748,2324.499775,3263.562622,4704.961546,5121.905407,5240.128796,5049.766119,3456.423595,3726.81142,3142.277935,2824.679625,3056.624967,3623.247996,4773.248944,5866.096224,7323.033629,8801.599484,8570.022562,11249.46454,13200.78508,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118,6794.489159,7507.160971,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,1268.285821,1627.660387,1755.165984,1983.063842,2202.644953,2656.647349,3992.036338,4374.85175,4552.944471,4818.683873,5235.134119,5465.203582,5990.460128,6589.383144,7005.502809,7753.02566,7772.808757,7789.391377,7520.79074,7905.676802,8220.27611,8451.958599,8994.324063,9491.475434,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1059.007166,1179.058016,1181.950263,1309.987346,1259.345137,1343.003377,1424.452852,1882.17447,2905.39029,6957.094532,7317.772329,8621.270275,10159.01244,11020.80138,15409.53337,26228.17545,22494.77766,21254.3106,18526.73266,17619.19066,15863.62519,10263.00641,11587.39751,10949.93896,11762.09998,13440.91401,13716.99049,15080.41421,14420.5082,14000.84937,15827.70819,16706.95514,16593.49959,12653.82452,14065.34269,17971.50658,16437.63304,16817.12616,18521.1854,21839.62541,25991.16716,30768.39285,32337.31729,37426.66854,27496.96085,34609.94043,46139.58441,46842.96026,43948.85117,41037.07265,30681.67944,26762.94565,28186.80303,31241.45396,30748.73749,27179.41199,31449.07656,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,309.9704783,324.6316645,319.6884097,343.5873984,341.28438,336.9718878,383.1120184,472.292961,514.5836701,486.4403326,515.1084338,423.3147128,440.0007398,433.9124472,496.8453319,550.6065958,564.5374979,644.1460926,652.3509892,699.2570827,722.8525714,764.951103,841.3718347,951.8062703,1050.051242,1201.432967,1299.631488,1714.032453,1780.111536,1768.744739,2194.126452,2491.271677,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211,3009.924171,3266.364905,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,59.29885835,62.74246456,66.44546449,69.37760671,74.01012505,80.19767897,89.52594158,101.3376754,113.7006576,131.8425701,162.5092267,210.9721192,262.4746429,371.4424858,442.5210621,487.9211103,485.3842254,559.6297814,695.0563821,917.6019033,1130.35233,1092.714197,992.0804749,1105.156401,1128.848463,978.9761054,1180.936544,1610.40453,2096.722043,2369.109157,2825.673142,2855.88768,2918.651591,2844.966397,2832.860893,3064.593723,3063.9918,3100.134219,2893.315051,3242.13383,3351.696517,3115.679,3029.784532,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.815863,4938.278893,6041.754284,7080.812813,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674,5863.203241,6805.221274,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,66.77009549,71.99320406,71.43908526,72.83981428,78.3935198,81.42828127,83.61161079,84.84325846,97.08480312,93.01876031,91.47266098,95.41894577,106.9448912,123.4948968,125.6633947,165.7933972,194.6007482,216.6044935,258.0683097,293.1667117,330.002877,284.6377126,303.2507983,263.9894942,252.7485699,338.74828,434.3751203,459.1659967,476.0208895,452.9665579,512.8508564,475.2761615,471.9406411,413.959446,267.0062747,340.3996977,299.6195073,271.1432876,272.1015286,273.4279279,243.8775801,242.5757245,253.4106803,283.6753608,309.1902615,317.8776556,340.4145334,388.4777863,446.2288114,452.9222586,459.7769465,515.2095319,525.8675432,352.226872,394.856957,351.8797536,372.1354655,414.7402866,435.9322636,426.4087626,435.4692516,461.1374902,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2259.250511,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932814,4520.162878,5089.587902,5838.660894,7033.011021,7511.211343,8809.26466,8919.057461,9123.691334,10043.66096,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,51987.93905,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314.257103,2196.836201,2360.506043,2490.547738,2825.708688,3579.686629,3795.187451,3747.194492,4107.890008,3987.897643,3949.137595,4354.549093,4940.210294,5947.615717,7178.016445,8363.477976,9482.092474,12022.26981,14601.09361,12319.522,12624.84736,13970.06689,13075.72899,13662.24109,14132.76797,12520.33649,12781.93211,14224.85778,16086.31826,16358.47415,16293.80003,18751.02651,
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,1787.360348,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,19410.18935,17679.86887,18015.10596,17874.25065,17005.53424,17166.5185,24480.42256,30466.10902,32717.92045,31334.97908,39574.53981,39544.49468,40713.68815,39237.11866,43091.7771,50113.83212,48092.6433,41584.44178,42680.58673,41695.69129,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85656.32267,91991.60046,
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41227.40326,43250.70571,44316.15359,42681.04174,45278.05847,49430.52909,57202.56103,58550.8346,63666.87724,75152.60978,,,,,,,,,,,,,,,
